industry_group,n,median_valuation_b,median_funding_b,avg_residual_ln,median_outperformance_pct
Cybersecurity,8,2.5,0.399,0.08199523088192429,-0.0726062303144997
Fintech,213,2.0,0.381,0.044598380365249386,-0.025049241815572443
Enterprise Software,300,2.0,0.31,0.0222175272474362,-0.1378663823580405
Health & Bio,94,1.75,0.334,0.019129388095628447,-0.05700789130879097
AI & Data,263,1.7,0.417,-0.01813208029315732,-0.12205312847731753
Hardware & Industrials,116,1.925,0.3915,-0.01833858661120488,-0.14827399855798012
Other / Unknown,20,2.0,0.4825,-0.12358823531718492,-0.15691590628958207
E-commerce & Consumer,18,1.0,0.4355,-0.15139109893699298,-0.13638850331879537
Transport & Logistics,16,1.5,0.7765,-0.23403354463650228,-0.1852916713752037
