model,cv_r2_mean,cv_r2_std,test_r2,mae_ln,rmse_ln,median_abs_pct_error
Gradient Boosting,0.39687568739556517,0.10819321898664891,0.30274558257800965,0.4797170442353346,0.6173891010751544,0.4035658633577441
Random Forest,0.39613274368165075,0.0862209184912767,0.27784787959574786,0.48266307060994723,0.6283153454500519,0.4048225347676886
OLS,0.30063435501092106,0.11052438102004972,0.2463218045314023,0.5136518702897951,0.6418836252672948,0.46976353963852735
Ridge,0.3148104312944958,0.10439175554281033,0.2461124590307867,0.5151515014965031,0.6419727655129391,0.4729053511900577
